,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
597,"@g0ldenraes Smh <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><U+200D><U+2642><U+FE0F> too easily accessible, you see narcan as a pro or con?",FALSE,0,g0ldenraes,10/27/2017 21:42,FALSE,9.24026E+17,9.24029E+17,7.47226E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cuddykilla,0,FALSE,FALSE,NA,NA
598,"@WBEZ @NPR As a medic in Iraq and Afghanistan, I carried morphine and so I carried narcan. It is an important and wonderful drug antagonist.",FALSE,0,WBEZ,10/27/2017 21:42,FALSE,9.23695E+17,9.24028E+17,13749282,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",brian_mostrom,0,FALSE,FALSE,NA,NA
599,RT @KYWNewsradio: #Puppy revived by #Narcan after swalloing #opioid while on walk with owner https://t.co/63b3tQouqJ,FALSE,0,NA,10/27/2017 21:41,FALSE,NA,9.24028E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dontmesswithmyn,3,TRUE,FALSE,NA,NA
600,"RT @TheTruth24US: Walgreens is now stocking Narcan at more than 8,000 locations nationwide, company announces... #RT https://t.co/8IcoUpXChg",FALSE,0,NA,10/27/2017 21:41,FALSE,NA,9.24028E+17,NA,"<a href=""http://reporte.us"" rel=""nofollow"">Report US</a>",Info24US,1,TRUE,FALSE,NA,NA
601,"Walgreens is now stocking Narcan at more than 8,000 locations nationwide, company announces... #RT https://t.co/8IcoUpXChg",FALSE,0,NA,10/27/2017 21:41,FALSE,NA,9.24028E+17,NA,"<a href=""http://reporte.us"" rel=""nofollow"">Report US</a>",TheTruth24US,1,FALSE,FALSE,NA,NA
602,Delco Police Who Saved Lives With Narcan Honored Friday https://t.co/rOm7SzwOR7,FALSE,1,NA,10/27/2017 21:39,FALSE,NA,9.24028E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",HaverfordPatch,1,FALSE,FALSE,NA,NA
603,Delco Police Who Saved Lives With Narcan Honored Friday https://t.co/j92c1DL9fv,FALSE,1,NA,10/27/2017 21:39,FALSE,NA,9.24028E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",SprngfldPAPatch,0,FALSE,FALSE,NA,NA
604,Delco Police Who Saved Lives With Narcan Honored Friday https://t.co/LorM55tpZE,FALSE,0,NA,10/27/2017 21:39,FALSE,NA,9.24028E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",MarplePatch,0,FALSE,FALSE,NA,NA
605,"@B0b_____ @eugenegu Right. Now it's a public health emergency &amp; most of the fed grant (for narcan distribution, sub… https://t.co/Ml7WrFM0Qx",FALSE,0,B0b_____,10/27/2017 21:38,TRUE,9.2402E+17,9.24028E+17,70986476,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",donna_gardner,0,FALSE,FALSE,NA,NA
606,"Saved by Narcan, many addicts keep using https://t.co/WNc7ey84GX via @Newsday
Case for Not relying on #Vivitrol 4 #OpiateAddiction #MAT",FALSE,0,NA,10/27/2017 21:38,FALSE,NA,9.24028E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bellewitch66,0,FALSE,FALSE,NA,NA
607,"This morning Deputy Lord used Narcan to save a 23 YO woman who had ODd, our 18th overdose save since 2015 #CommunityFirst",FALSE,29,NA,10/27/2017 21:37,FALSE,NA,9.24027E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SnoCoSheriff,8,FALSE,FALSE,NA,NA
608,Narcan Now Sold Over The Counter https://t.co/HvcR9MGoHa,FALSE,0,NA,10/27/2017 21:35,FALSE,NA,9.24027E+17,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",1240WSFC,0,FALSE,FALSE,NA,NA
609,RT @tryanmax: Narcan won’t solve the opioid epidemic. Cool that you’re giving them free advertising tho’. https://t.co/zknIGtoIwn,FALSE,0,NA,10/27/2017 21:35,FALSE,NA,9.24027E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Marnssj,1,TRUE,FALSE,NA,NA
610,RT @DarrenRipley1: Narcan Opioid Overdose Spray Is Now Stocked By All Walgreens Pharmacies https://t.co/7UYXveiMU7,FALSE,0,NA,10/27/2017 21:35,FALSE,NA,9.24027E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",psantoroLESC,2,TRUE,FALSE,NA,NA
611,"Narcan saved their lives https://t.co/fbOcQmxApF via @Newsday
Harrowing ordeals for families, but Worlds better than burying your loved one",FALSE,1,NA,10/27/2017 21:34,FALSE,NA,9.24026E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bellewitch66,0,FALSE,FALSE,NA,NA
